Id,Title,Info
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Declassified documents reveal the post-WWII life of Otto Skorzeny  a close Hitler ally who escaped to Spain and became an adviser to world presidents Europe's Most Dangerous Man: Otto Skorzeny in Spain Pedro de Echave García  Pablo Azorín Williams   TV-MA
s18,Falsa identidad,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband Falsa identidad  Luis Ernesto Franco  Camila Sodi  Sergio Goyri  Samadhi Zendejas  Eduardo Yáñez  Sonya Smith  Alejandro Camacho  Azela Robinson  Uriel del Toro  Géraldine Bazán  Gabriela Roel  Marcus Ornellas Mexico TV-MA
s19,Intrusion,After a deadly home invasion at a couple’s new dream house  the traumatized wife searches for answers — and learns the real danger is just beginning Intrusion Adam Salky Freida Pinto  Logan Marshall-Green  Robert John Burke  Megan Elisabeth Kelly  Sarah Minnich  Hayes Hargrove  Mark Sivertsen  Brandon Fierro  Antonio Valles  Clint Obenchain  TV-14
s20,Jaguar,In the 1960s  a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII Jaguar  Blanca Suárez  Iván Marcos  Óscar Casas  Adrián Lastra  Francesc Garrido  Stefan Weinert  Julia Möller  Alicia Chojnowski  TV-MA
s21,Monsters Inside: The 24 Faces of Billy Milligan,In the late 1970s  an accused serial rapist claims multiple personalities control his behavior  setting off a legal odyssey that captivates America Monsters Inside: The 24 Faces of Billy Milligan Olivier Megaton   TV-14
s22,Resurrection: Ertugrul,When a good deed unwittingly endangers his clan  a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land Resurrection: Ertugrul  Engin Altan Düzyatan  Serdar Gökhan  Hülya Darcan  Kaan Taşaner  Esra Bilgiç  Osman Soykut  Serdar Deniz  Cengiz Coşkun  Reshad Strik  Hande Subaşı Turkey TV-14
s23,Avvai Shanmughi,Newly divorced and denied visitation rights with his daughter  a doting father disguises himself as a gray-haired nanny in order to spend time with her Avvai Shanmughi K.S. Ravikumar Kamal Hassan  Meena  Gemini Ganesan  Heera Rajgopal  Nassar  S.P. Balasubrahmanyam  TV-PG
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,From arcade games to sled days and hiccup cures  Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town! Go! Go! Cory Carson: Chrissy Takes the Wheel Alex Woo  Stanley Moore Maisie Benson  Paul Killam  Kerry Gudjohnsen  AC Lim  TV-Y
s25,Jeans,When the father of the man she loves insists that his twin sons marry twin sisters  a woman creates an alter ego that might be a bit too convincing Jeans S. Shankar Prashanth  Aishwarya Rai Bachchan  Sri Lakshmi  Nassar India TV-14
s26,Love on the Spectrum,Finding love can be hard for anyone. For young adults on the autism spectrum  exploring the unpredictable world of dating is even more complicated Love on the Spectrum  Brooke Satchwell Australia TV-14
s27,Minsara Kanavu,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her Minsara Kanavu Rajiv Menon Arvind Swamy  Kajol  Prabhu Deva  Nassar  S.P. Balasubrahmanyam  Girish Karnad  TV-PG
s28,Grown Ups,Mourning the loss of their beloved junior high basketball coach  five middle-aged pals reunite at a lake house and rediscover the joys of being a kid Grown Ups Dennis Dugan Adam Sandler  Kevin James  Chris Rock  David Spade  Rob Schneider  Salma Hayek  Maria Bello  Maya Rudolph  Colin Quinn  Tim Meadows  Joyce Van Patten United States PG-13
s29,Dark Skies,A family’s idyllic suburban life shatters when an alien force invades their home  and as they struggle to convince others of the deadly threat Dark Skies Scott Stewart Keri Russell  Josh Hamilton  J.K. Simmons  Dakota Goyo  Kadan Rockett  L.J. Benet  Rich Hutchman  Myndy Crist  Annie Thurman  Jake Brennan United States PG-13
s30,Paranoia,Blackmailed by his company's CEO  a low-level employee finds himself forced to spy on the boss's rival and former mentor Paranoia Robert Luketic Liam Hemsworth  Gary Oldman  Amber Heard  Harrison Ford  Lucas Till  Embeth Davidtz  Julian McMahon  Josh Holloway  Richard Dreyfuss  Angela Sarafyan United States  India  France PG-13
s31,Ankahi Kahaniya,As big city life buzzes around them  lonely souls discover surprising sources of connection and companionship in three tales of love  loss and longing Ankahi Kahaniya Ashwiny Iyer Tiwari  Abhishek Chaubey  Saket Chaudhary Abhishek Banerjee  Rinku Rajguru  Delzad Hiwale  Kunal Kapoor  Zoya Hussain  Nikhil Dwivedi  Palomi Ghosh  TV-14
s32,Chicago Party Aunt,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew Chicago Party Aunt  Lauren Ash  Rory O'Malley  RuPaul Charles  Jill Talley  Ike Barinholtz  Jon Barinholtz  Matthew Craig  Bob Odenkirk  Mike Hagerty  Katie Rich  Chris Witaske  TV-MA
s33,Sex Education,Insecure Otis has all the answers when it comes to sex advice  thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic Sex Education  Asa Butterfield  Gillian Anderson  Ncuti Gatwa  Emma Mackey  Connor Swindells  Kedar Williams-Stirling  Alistair Petrie United Kingdom TV-MA
s34,Squid Game,Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside  a tempting prize awaits — with deadly high stakes Squid Game  Lee Jung-jae  Park Hae-soo  Wi Ha-jun  Oh Young-soo  Jung Ho-yeon  Heo Sung-tae  Kim Joo-ryoung  Tripathi Anupam  You Seong-joo  Lee You-mi  TV-MA
s35,Tayo and Little Wizards,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone Tayo and Little Wizards  Dami Lee  Jason Lee  Bommie Catherine Han  Jennifer Waescher  Nancy Kim  TV-Y7
s36,The Father Who Moves Mountains,When his son goes missing during a snowy hike in the mountains  a retired intelligence officer will stop at nothing — and risk everything — to find him The Father Who Moves Mountains Daniel Sandu Adrian Titieni  Elena Purea  Judith State  Valeriu Andriuță  Tudor Smoleanu  Virgil Aioanei  Radu Botar  Petronela Grigorescu  Bogdan Nechifor  Cristian Bota  TV-MA
s37,The Stronghold,Tired of the small-time grind  three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask The Stronghold Cédric Jimenez Gilles Lellouche  Karim Leklou  François Civil  Adèle Exarchopoulos  Kenza Fortas  Cyril Lecomte  Michaël Abiteboul  Idir Azougli  Vincent Darmuzey  Jean-Yves Berteloot  TV-MA
s38,Angry Birds,Birds Red  Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal Angry Birds  Antti Pääkkönen  Heljä Heikkinen  Lynne Guaglione  Pasi Ruohonen  Rauno Ahonen Finland TV-Y7
s39,Birth of the Dragon,A young Bruce Lee angers kung fu traditionalists by teaching outsiders  leading to a showdown with a Shaolin master in this film based on real events Birth of the Dragon George Nolfi Billy Magnussen  Ron Yuan  Qu Jingjing  Terry Chen  Vanness Wu  Jin Xing  Philip Ng  Xia Yu  Yu Xia China  Canada  United States PG-13
s40,Chhota Bheem,A brave  energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil Chhota Bheem  Vatsal Dubey  Julie Tejwani  Rupa Bhimani  Jigna Bhardwaj  Rajesh Kava  Mousam  Swapnil India TV-Y7
s41,He-Man and the Masters of the Universe,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor He-Man and the Masters of the Universe  Yuri Lowenthal  Kimberly Brooks  Antony Del Rio  Trevor Devall  Ben Diskin  Grey Griffin  David Kaye  Tom Kenny  Judy Alice Lee  Roger Craig Smith  Fred Tatasciore United States TV-Y7
s42,Jaws,When an insatiable great white shark terrorizes Amity Island  a police chief  an oceanographer and a grizzled shark hunter seek to destroy the beast Jaws Steven Spielberg Roy Scheider  Robert Shaw  Richard Dreyfuss  Lorraine Gary  Murray Hamilton  Carl Gottlieb  Jeffrey Kramer  Susan Backlinie  Jonathan Filley  Ted Grossman United States PG
s43,Jaws 2,Four years after the last deadly shark attacks  police chief Martin Brody fights to protect Amity Island from another killer great white Jaws 2 Jeannot Szwarc Roy Scheider  Lorraine Gary  Murray Hamilton  Joseph Mascolo  Jeffrey Kramer  Collin Wilcox Paxton  Ann Dusenberry  Mark Gruner  Barry Coe  Susan French United States PG
s44,Jaws 3,After the staff of a marine theme park try to capture a young great white shark  they discover its mother has invaded the enclosure and is out for blood Jaws 3 Joe Alves Dennis Quaid  Bess Armstrong  Simon MacCorkindale  Louis Gossett Jr.  John Putch  Lea Thompson  P.H. Moriarty  Dan Blasko  Liz Morris  Lisa Maurer United States PG
s45,Jaws: The Revenge,After another deadly shark attack  Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there Jaws: The Revenge Joseph Sargent Lorraine Gary  Lance Guest  Mario Van Peebles  Karen Young  Michael Caine  Judith Barsi  Mitchell Anderson  Lynn Whitfield United States PG-13
s46,My Heroes Were Cowboys,Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams  training the horses he loves for the big screen My Heroes Were Cowboys Tyler Greco   PG
s47,Safe House,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location Safe House Daniel Espinosa Denzel Washington  Ryan Reynolds  Vera Farmiga  Brendan Gleeson  Sam Shepard  Rubén Blades  Nora Arnezeder  Robert Patrick  Liam Cunningham  Joel Kinnaman South Africa  United States  Japan R
s48,The Smart Money Woman,Five glamorous millennials strive for success as they juggle careers  finances  love and friendships. Based on Arese Ugwu's 2016 best-selling novel The Smart Money Woman Bunmi Ajakaiye Osas Ighodaro  Ini Dima-Okojie  Kemi Lala Akindoju  Toni Tones  Ebenezer Eno  Eso Okolocha DIke  Patrick Diabuah  Karibi Fubara  Temisan Emmanuel  Timini Egbuson  TV-MA
